Id,Date,CalculatedDailySteps
7086361926,2016-03-22,1917
7086361926,2016-03-23,1055
7086361926,2016-03-24,11504
7086361926,2016-03-25,4651
7086361926,2016-03-26,14319
7086361926,2016-03-27,4981
7086361926,2016-03-28,3654
7086361926,2016-03-29,4715
7086361926,2016-03-30,4339
7086361926,2016-03-31,6732
7086361926,2016-04-01,11463
7086361926,2016-04-02,13
7086361926,2016-04-03,1949
7086361926,2016-04-04,6101
7086361926,2016-04-05,7413
7086361926,2016-04-06,7352
7086361926,2016-04-07,14574
7086361926,2016-04-08,9585
7086361926,2016-04-09,7338
7086361926,2016-04-10,569
7086361926,2016-04-11,6232
7086361926,2016-04-12,422
8053475328,2016-03-12,18227
8053475328,2016-03-13,37322
8053475328,2016-03-14,12115
8053475328,2016-03-15,15053
8053475328,2016-03-16,13124
8053475328,2016-03-17,18155
8053475328,2016-03-18,12998
8053475328,2016-03-19,19039
8053475328,2016-03-20,21390
8053475328,2016-03-21,11687
8053475328,2016-03-22,13025
8053475328,2016-03-23,12734
8053475328,2016-03-24,11196
8053475328,2016-03-25,16213
8053475328,2016-03-26,10980
8053475328,2016-03-27,9786
8053475328,2016-03-28,10406
8053475328,2016-03-29,13848
8053475328,2016-03-30,2552
8053475328,2016-03-31,11493
8053475328,2016-04-01,12411
8053475328,2016-04-02,20188
8053475328,2016-04-03,25701
8053475328,2016-04-04,17380
8053475328,2016-04-05,17167
8053475328,2016-04-06,16435
8053475328,2016-04-07,17078
8053475328,2016-04-08,11693
8053475328,2016-04-09,11159
8053475328,2016-04-10,10109
8053475328,2016-04-11,16064
8053475328,2016-04-12,290
8253242879,2016-03-12,0
8253242879,2016-03-13,0
8253242879,2016-03-14,0
8253242879,2016-03-15,0
8253242879,2016-03-16,0
8253242879,2016-03-17,0
8253242879,2016-03-18,0
8253242879,2016-03-19,0
8253242879,2016-03-20,0
8253242879,2016-03-21,0
8253242879,2016-03-22,0
8253242879,2016-03-23,0
8253242879,2016-03-24,0
8253242879,2016-03-25,0
8253242879,2016-03-26,0
8253242879,2016-03-27,0
8253242879,2016-03-28,0
8253242879,2016-03-29,0
8253242879,2016-03-30,0
8253242879,2016-03-31,0
8253242879,2016-04-01,0
8253242879,2016-04-02,0
8253242879,2016-04-03,0
8253242879,2016-04-04,0
8253242879,2016-04-05,0
8253242879,2016-04-06,1931
8253242879,2016-04-07,5181
8253242879,2016-04-08,12026
8253242879,2016-04-09,5360
8253242879,2016-04-10,2545
8253242879,2016-04-11,1350
8378563200,2016-03-12,3092
8378563200,2016-03-13,2975
8378563200,2016-03-14,4467
8378563200,2016-03-15,11467
8378563200,2016-03-16,8007
8378563200,2016-03-17,3292
8378563200,2016-03-18,11789
8378563200,2016-03-19,4978
8378563200,2016-03-20,7212
8378563200,2016-03-21,4753
8378563200,2016-03-22,10123
